Company,Ticker,Date,Price,Type
Apple,AAPL,Mar 2021,$118.97,Historical
Apple,AAPL,Apr 2021,$128.04,Historical
Apple,AAPL,May 2021,$121.58,Historical
Apple,AAPL,Jun 2021,$133.63,Historical
Apple,AAPL,Jul 2021,$142.31,Historical
Apple,AAPL,Aug 2021,$148.35,Historical
Apple,AAPL,Sep 2021,$138.26,Historical
Apple,AAPL,Oct 2021,$146.37,Historical
Apple,AAPL,Nov 2021,$161.75,Historical
Apple,AAPL,Dec 2021,$173.76,Historical
Apple,AAPL,Jan 2022,$171.03,Historical
Apple,AAPL,Feb 2022,$161.78,Historical
Apple,AAPL,Mar 2022,$171.08,Historical
Apple,AAPL,Apr 2022,$154.46,Historical
Apple,AAPL,May 2022,$146.05,Historical
Apple,AAPL,Jun 2022,$134.15,Historical
Apple,AAPL,Jul 2022,$159.46,Historical
Apple,AAPL,Aug 2022,$154.48,Historical
Apple,AAPL,Sep 2022,$135.79,Historical
Apple,AAPL,Oct 2022,$150.67,Historical
Apple,AAPL,Nov 2022,$145.69,Historical
Apple,AAPL,Dec 2022,$127.88,Historical
Apple,AAPL,Jan 2023,$142.01,Historical
Apple,AAPL,Feb 2023,$145.30,Historical
Apple,AAPL,Mar 2023,$162.55,Historical
Apple,AAPL,Apr 2023,$167.26,Historical
Apple,AAPL,May 2023,$174.96,Historical
Apple,AAPL,Jun 2023,$191.46,Historical
Apple,AAPL,Jul 2023,$193.91,Historical
Apple,AAPL,Aug 2023,$185.69,Historical
Apple,AAPL,Sep 2023,$169.23,Historical
Apple,AAPL,Oct 2023,$168.79,Historical
Apple,AAPL,Nov 2023,$188.00,Historical
Apple,AAPL,Dec 2023,$190.55,Historical
Apple,AAPL,Jan 2024,$182.50,Historical
Apple,AAPL,Feb 2024,$179.12,Historical
Apple,AAPL,Mar 2024,$169.93,Historical
Apple,AAPL,Apr 2024,$168.79,Historical
Apple,AAPL,May 2024,$190.77,Historical
Apple,AAPL,Jun 2024,$209.00,Historical
Apple,AAPL,Jul 2024,$220.38,Historical
Apple,AAPL,Aug 2024,$227.51,Historical
Apple,AAPL,Sep 2024,$231.48,Historical
Apple,AAPL,Oct 2024,$224.44,Historical
Apple,AAPL,Nov 2024,$236.04,Historical
Apple,AAPL,Dec 2024,$249.06,Historical
Apple,AAPL,Jan 2025,$234.72,Historical
Apple,AAPL,Feb 2025,$240.79,Historical
Apple,AAPL,Mar 2025,$221.17,Historical
Apple,AAPL,Apr 2025,$211.58,Historical
Apple,AAPL,May 2025,$200.24,Historical
Apple,AAPL,Jun 2025,$204.55,Historical
Apple,AAPL,Jul 2025,$206.94,Historical
Apple,AAPL,Aug 2025,$231.70,Historical
Apple,AAPL,Sep 2025,$254.15,Historical
Apple,AAPL,Oct 2025,$269.86,Historical
Apple,AAPL,Nov 2025,$278.59,Historical
Apple,AAPL,Dec 2025,$271.61,Historical
Apple,AAPL,Jan 2026,$259.24,Historical
Apple,AAPL,Feb 2026,$264.18,Historical
Apple,AAPL,Mar 2026,$249.94,Historical
Apple,AAPL,Mar 2026,$95.81,Forecast
Apple,AAPL,Apr 2026,$112.52,Forecast
Apple,AAPL,May 2026,$108.08,Forecast
Apple,AAPL,Jun 2026,$102.09,Forecast
Apple,AAPL,Jul 2026,$81.95,Forecast
Apple,AAPL,Aug 2026,$94.79,Forecast
Apple,AAPL,Sep 2026,$91.26,Forecast
Apple,AAPL,Oct 2026,$97.76,Forecast
Apple,AAPL,Nov 2026,$111.57,Forecast
Apple,AAPL,Dec 2026,$90.70,Forecast
Apple,AAPL,Jan 2027,$89.78,Forecast
Apple,AAPL,Feb 2027,$110.44,Forecast
Apple,AAPL,Mar 2027,$99.95,Forecast
Apple,AAPL,Apr 2027,$103.38,Forecast
Apple,AAPL,May 2027,$107.04,Forecast
Apple,AAPL,Jun 2027,$106.92,Forecast
Apple,AAPL,Jul 2027,$106.83,Forecast
Apple,AAPL,Aug 2027,$97.00,Forecast
Google,GOOGL,Mar 2021,$102.28,Historical
Google,GOOGL,Apr 2021,$116.71,Historical
Google,GOOGL,May 2021,$116.88,Historical
Google,GOOGL,Jun 2021,$121.09,Historical
Google,GOOGL,Jul 2021,$133.62,Historical
Google,GOOGL,Aug 2021,$143.51,Historical
Google,GOOGL,Sep 2021,$132.58,Historical
Google,GOOGL,Oct 2021,$146.83,Historical
Google,GOOGL,Nov 2021,$140.73,Historical
Google,GOOGL,Dec 2021,$143.66,Historical
Google,GOOGL,Jan 2022,$134.19,Historical
Google,GOOGL,Feb 2022,$133.95,Historical
Google,GOOGL,Mar 2022,$137.93,Historical
Google,GOOGL,Apr 2022,$113.17,Historical
Google,GOOGL,May 2022,$112.83,Historical
Google,GOOGL,Jun 2022,$108.07,Historical
Google,GOOGL,Jul 2022,$115.37,Historical
Google,GOOGL,Aug 2022,$107.33,Historical
Google,GOOGL,Sep 2022,$94.87,Historical
Google,GOOGL,Oct 2022,$93.74,Historical
Google,GOOGL,Nov 2022,$100.16,Historical
Google,GOOGL,Dec 2022,$87.51,Historical
Google,GOOGL,Jan 2023,$98.03,Historical
Google,GOOGL,Feb 2023,$89.32,Historical
Google,GOOGL,Mar 2023,$102.88,Historical
Google,GOOGL,Apr 2023,$106.46,Historical
Google,GOOGL,May 2023,$121.86,Historical
Google,GOOGL,Jun 2023,$118.72,Historical
Google,GOOGL,Jul 2023,$131.63,Historical
Google,GOOGL,Aug 2023,$135.05,Historical
Google,GOOGL,Sep 2023,$129.79,Historical
Google,GOOGL,Oct 2023,$123.06,Historical
Google,GOOGL,Nov 2023,$131.44,Historical
Google,GOOGL,Dec 2023,$138.54,Historical
Google,GOOGL,Jan 2024,$138.95,Historical
Google,GOOGL,Feb 2024,$137.32,Historical
Google,GOOGL,Mar 2024,$149.69,Historical
Google,GOOGL,Apr 2024,$161.45,Historical
Google,GOOGL,May 2024,$171.09,Historical
Google,GOOGL,Jun 2024,$180.86,Historical
Google,GOOGL,Jul 2024,$170.33,Historical
Google,GOOGL,Aug 2024,$162.23,Historical
Google,GOOGL,Sep 2024,$164.90,Historical
Google,GOOGL,Oct 2024,$170.13,Historical
Google,GOOGL,Nov 2024,$167.98,Historical
Google,GOOGL,Dec 2024,$188.43,Historical
Google,GOOGL,Jan 2025,$203.08,Historical
Google,GOOGL,Feb 2025,$169.50,Historical
Google,GOOGL,Mar 2025,$154.11,Historical
Google,GOOGL,Apr 2025,$158.25,Historical
Google,GOOGL,May 2025,$171.15,Historical
Google,GOOGL,Jun 2025,$175.83,Historical
Google,GOOGL,Jul 2025,$191.47,Historical
Google,GOOGL,Aug 2025,$212.43,Historical
Google,GOOGL,Sep 2025,$242.77,Historical
Google,GOOGL,Oct 2025,$280.81,Historical
Google,GOOGL,Nov 2025,$319.75,Historical
Google,GOOGL,Dec 2025,$312.78,Historical
Google,GOOGL,Jan 2026,$337.76,Historical
Google,GOOGL,Feb 2026,$311.54,Historical
Google,GOOGL,Mar 2026,$307.69,Historical
Google,GOOGL,Mar 2026,$93.43,Forecast
Google,GOOGL,Apr 2026,$96.02,Forecast
Google,GOOGL,May 2026,$106.35,Forecast
Google,GOOGL,Jun 2026,$109.50,Forecast
Google,GOOGL,Jul 2026,$103.14,Forecast
Google,GOOGL,Aug 2026,$107.19,Forecast
Google,GOOGL,Sep 2026,$93.77,Forecast
Google,GOOGL,Oct 2026,$107.89,Forecast
Google,GOOGL,Nov 2026,$113.66,Forecast
Google,GOOGL,Dec 2026,$94.71,Forecast
Google,GOOGL,Jan 2027,$88.92,Forecast
Google,GOOGL,Feb 2027,$112.16,Forecast
Google,GOOGL,Mar 2027,$90.68,Forecast
Google,GOOGL,Apr 2027,$108.78,Forecast
Google,GOOGL,May 2027,$107.18,Forecast
Google,GOOGL,Jun 2027,$98.04,Forecast
Google,GOOGL,Jul 2027,$93.76,Forecast
Google,GOOGL,Aug 2027,$96.53,Forecast
Microsoft,MSFT,Mar 2021,$226.24,Historical
Microsoft,MSFT,Apr 2021,$241.98,Historical
Microsoft,MSFT,May 2021,$240.14,Historical
Microsoft,MSFT,Jun 2021,$260.54,Historical
Microsoft,MSFT,Jul 2021,$274.02,Historical
Microsoft,MSFT,Aug 2021,$290.90,Historical
Microsoft,MSFT,Sep 2021,$271.66,Historical
Microsoft,MSFT,Oct 2021,$319.55,Historical
Microsoft,MSFT,Nov 2021,$319.14,Historical
Microsoft,MSFT,Dec 2021,$324.68,Historical
Microsoft,MSFT,Jan 2022,$300.21,Historical
Microsoft,MSFT,Feb 2022,$289.04,Historical
Microsoft,MSFT,Mar 2022,$298.25,Historical
Microsoft,MSFT,Apr 2022,$268.47,Historical
Microsoft,MSFT,May 2022,$263.61,Historical
Microsoft,MSFT,Jun 2022,$249.03,Historical
Microsoft,MSFT,Jul 2022,$272.21,Historical
Microsoft,MSFT,Aug 2022,$254.07,Historical
Microsoft,MSFT,Sep 2022,$226.31,Historical
Microsoft,MSFT,Oct 2022,$225.56,Historical
Microsoft,MSFT,Nov 2022,$248.61,Historical
Microsoft,MSFT,Dec 2022,$233.69,Historical
Microsoft,MSFT,Jan 2023,$241.47,Historical
Microsoft,MSFT,Feb 2023,$243.65,Historical
Microsoft,MSFT,Mar 2023,$281.63,Historical
Microsoft,MSFT,Apr 2023,$300.15,Historical
Microsoft,MSFT,May 2023,$321.49,Historical
Microsoft,MSFT,Jun 2023,$333.39,Historical
Microsoft,MSFT,Jul 2023,$328.87,Historical
Microsoft,MSFT,Aug 2023,$321.56,Historical
Microsoft,MSFT,Sep 2023,$309.77,Historical
Microsoft,MSFT,Oct 2023,$331.71,Historical
Microsoft,MSFT,Nov 2023,$372.49,Historical
Microsoft,MSFT,Dec 2023,$369.67,Historical
Microsoft,MSFT,Jan 2024,$390.85,Historical
Microsoft,MSFT,Feb 2024,$407.39,Historical
Microsoft,MSFT,Mar 2024,$414.36,Historical
